Date into chamber,RowNum,Num,Rep,RowNumNumRep,Treatment,Date out of chamber,Notes
9/8/2016,38,7,R6,38.7.R6,Chamber 1,10/5/2016,
9/12/2016,14,1,R3,14.1.R3,Chamber 1,10/12/2016,
9/12/2016,18,5,R8,18.5.R8,Chamber 1,10/12/2016,
9/19/2016,16,1,R3,16.1.R3,Chamber 1,10/13/2016,
9/9/2016,38,7,R5,38.7.R5,Chamber 2,10/5/2016,
9/13/2016,13,3,R4,13.3.R4,Chamber 2,10/5/2016,
9/13/2016,16,1,R7,16.1.R7,Chamber 2,10/12/2016,
9/15/2016,18,5,R7,18.5.R7,Chamber 2,10/26/2016,
9/9/2016,18,5,R1,18.5.R1,Chamber 3,10/14/2016,
9/9/2016,38,7,R4,38.7.R4,Chamber 3,10/7/2016,
9/12/2016,18,5,R4,18.5.R4,Chamber 3,11/4/2016,
9/12/2016,18,5,R5,18.5.R5,Chamber 3,11/4/2016,
9/12/2016,20,5,R3,20.5.R3,Chamber 3,10/26/2016,
9/15/2016,35,3,R6,35.3.R6,Chamber 3,10/5/2016,
9/8/2016,13,3,R5,13.3.R5,Chamber 4,10/14/2016,
9/8/2016,38,7,R3,38.7.R3,Chamber 4,10/7/2016,
9/9/2016,19,9,R3,19.9.R3,Chamber 4,10/7/2016,
9/12/2016,16,1,R4,16.1.R4,Chamber 4,9/28/2016,
9/14/2016,20,2,R5,20.2.R5,Chamber 4,10/5/2016,
9/21/2016,20,2,R6,20.2.R6,Chamber 4,10/5/2016,
9/28/2016,24,9,R7,24.9.R7,Chamber 4,10/12/2016,
9/8/2016,20,2,R4,20.2.R4,Chamber 5,10/5/2016,
9/8/2016,38,7,R2,38.7.R2,Chamber 5,10/12/2016,
9/13/2016,16,1,R1,16.1.R1,Chamber 5,10/7/2016,
9/13/2016,20,2,R1,20.2.R1,Chamber 5,10/7/2016,
9/19/2016,22,9,R7,22.9.R7,Chamber 5,10/14/2016,